title,address,city,state,postal_code,price,bedroom,bathroom,area,year_built,lot_size,home_type
Apartment for rent,Benson St,Philadelphia,PA,19152,"$1,300/mo",3,1.0,,-1,-1.0,APARTMENT
Apartment for rent,7950 Bustleton Ave UNIT 2,Philadelphia,PA,19152,"$1,100/mo",2,1.0,,-1,-1.0,MULTI_FAMILY
Apartment for rent,Napfle St,Philadelphia,PA,19152,"$1,100/mo",2,1.0,,-1,-1.0,APARTMENT
Apartment for rent,Tremont St,Philadelphia,PA,19152,$950/mo,2,1.0,,-1,-1.0,APARTMENT
Apartment for rent,Shipley Rd,Philadelphia,PA,19152,$600/mo,1,1.0,,-1,-1.0,APARTMENT
House for rent,Walnut Hill St,Philadelphia,PA,19152,"$1,650/mo",4,2.5,1595.0,-1,-1.0,SINGLE_FAMILY
Apartment for rent,8543 Bustleton Ave FLOOR 1,Philadelphia,PA,19152,$925/mo,2,1.0,,-1,-1.0,APARTMENT
Apartment for rent,8016 Loretto Ave # 2,Philadelphia,PA,19152,"$1,200/mo",2,1.0,1200.0,1950,-1.0,APARTMENT
Apartment for rent,2541 Shelmire Ave # 2,Philadelphia,PA,19152,"$1,200/mo",2,1.0,,-1,-1.0,APARTMENT
House for rent,2218 Stanwood St,Philadelphia,PA,19152,"$1,500/mo",3,1.5,1366.0,1960,2595.0,SINGLE_FAMILY
Townhouse for rent,8939 Fairfield St,Philadelphia,PA,19152,"$3,850/mo",4,2.5,1628.0,1954,2870.0,TOWNHOUSE
House for rent,7715 Lister St,Philadelphia,PA,19152,"$1,600/mo",3,3.0,1191.0,1960,5858.0,SINGLE_FAMILY
House for rent,8836 Blue Grass Rd,Philadelphia,PA,19152,"$1,595/mo",3,2.5,1107.0,1959,3449.0,SINGLE_FAMILY
Condo for rent,1838 Danforth St # 2,Philadelphia,PA,19152,"$1,200/mo",2,1.0,1486.0,1957,-1.0,CONDO
Apartment for rent,7300 Sackett St,Philadelphia,PA,19152,$900/mo,0,1.0,,-1,-1.0,APARTMENT
Condo for rent,1634 Emerson St # 1,Philadelphia,PA,19152,"$1,200/mo",2,1.0,1840.0,1960,-1.0,CONDO
Apartment for rent,7900 Fairfield St,Philadelphia,PA,19152,$785+/mo,1,1.0,500.0,-1,-1.0,APARTMENT
Townhouse for rent,8711 Macon St,Philadelphia,PA,19152,"$4,250/mo",4,2.0,1015.0,1960,3886.0,TOWNHOUSE
